@relation class_relation-weka.filters.unsupervised.attribute.Remove-R14-15

@attribute tagName {BODY,DIV,TD,FONT,H1,H2,H3,H4,H5,LI,SPAN,UL,P,EM}
@attribute wordCount_AE numeric
@attribute densityinHTML_AE numeric
@attribute LinkCount_AE numeric
@attribute wordCountinLink_AE numeric
@attribute meanofWordinLinks_AE numeric
@attribute meanofWordinLinksAllWords_AE numeric
@attribute wordCount numeric
@attribute DensityinHTML numeric
@attribute LinkCount numeric
@attribute wordCountinLink numeric
@attribute meanofWordinLinks numeric
@attribute meanofWordinLinksAllWords numeric
@attribute tag_idORclass numeric
@attribute class {IRRELEVANT,MAIN,HEADLINE,INFORMATIONABOUTARTICLE}

@data
UL,51,0.035319,30,52,1.733333,1.019608,51,0.035319,30,52,1.733333,1.019608,1,IRRELEVANT
DIV,2,0.001385,0,0,0,0,4,0.00277,0,0,0,0,0,INFORMATIONABOUTARTICLE
H1,4,0.00277,0,0,0,0,4,0.00277,0,0,0,0,0,HEADLINE
DIV,761,0.527008,0,0,0,0,779,0.539474,8,18,2.25,0.023107,0,MAIN
DIV,2,0.001385,0,0,0,0,19,0.013158,8,18,2.25,0.947368,1,IRRELEVANT
DIV,2,0.001385,0,0,0,0,94,0.065097,19,101,5.315789,1.074468,1,IRRELEVANT
DIV,2,0.001385,0,0,0,0,92,0.063712,19,101,5.315789,1.097826,0,IRRELEVANT
DIV,0,0.001385,0,0,0,0,0,0,5,2,0.4,0,0,IRRELEVANT
UL,7,0.004848,5,8,1.6,1.142857,7,0.004848,5,8,1.6,1.142857,0,IRRELEVANT
DIV,2,0.001385,0,0,0,0,204,0.141274,5,18,3.6,0.088235,1,IRRELEVANT
DIV,0,0.001385,0,0,0,0,0,0,0,0,0,0,1,IRRELEVANT
DIV,0,0,0,0,0,0,0,0,0,0,0,0,0,IRRELEVANT
TD,2,0.00431,0,0,0,0,10,0.021552,5,10,2,1,0,IRRELEVANT
TD,0,0,2,2,1,0,0,0,2,2,1,0,0,IRRELEVANT
TD,2,0.00431,0,0,0,0,57,0.122845,28,43,1.535714,0.754386,0,IRRELEVANT
