@relation class_relation-weka.filters.unsupervised.attribute.Remove-R14-15

@attribute tagName {BODY,DIV,TD,FONT,H1,H2,H3,H4,H5,LI,SPAN,UL,P,EM}
@attribute wordCount_AE numeric
@attribute densityinHTML_AE numeric
@attribute LinkCount_AE numeric
@attribute wordCountinLink_AE numeric
@attribute meanofWordinLinks_AE numeric
@attribute meanofWordinLinksAllWords_AE numeric
@attribute wordCount numeric
@attribute DensityinHTML numeric
@attribute LinkCount numeric
@attribute wordCountinLink numeric
@attribute meanofWordinLinks numeric
@attribute meanofWordinLinksAllWords numeric
@attribute tag_idORclass numeric
@attribute class {IRRELEVANT,MAIN,HEADLINE,INFORMATIONABOUTARTICLE}

@data
TD,2,0.004073,0,0,0,0,7,0.014257,0,0,0,0,0,INFORMATIONABOUTARTICLE
TD,3,0.00611,1,5,5,1.666667,3,0.00611,1,5,5,1.666667,0,INFORMATIONABOUTARTICLE
SPAN,1,0.002037,1,5,5,5,1,0.002037,1,5,5,5,0,INFORMATIONABOUTARTICLE
SPAN,2,0.004073,0,0,0,0,2,0.004073,0,0,0,0,0,INFORMATIONABOUTARTICLE
TD,1,0.002037,3,2,0.666667,2,1,0.002037,3,2,0.666667,2,0,IRRELEVANT
DIV,406,0.826884,0,0,0,0,406,0.826884,0,0,0,0,1,MAIN
TD,9,0.01833,1,11,11,1.222222,9,0.01833,1,11,11,1.222222,0,IRRELEVANT
TD,11,0.022403,1,13,13,1.181818,11,0.022403,1,13,13,1.181818,0,IRRELEVANT
TD,7,0.014257,1,8,8,1.142857,7,0.014257,1,8,8,1.142857,0,IRRELEVANT
TD,5,0.010183,1,6,6,1.2,5,0.010183,1,6,6,1.2,0,IRRELEVANT
TD,1,0.002037,1,2,2,2,1,0.002037,1,2,2,2,0,IRRELEVANT
TD,1,0.002037,1,2,2,2,1,0.002037,1,2,2,2,0,IRRELEVANT
TD,3,0.00611,1,5,5,1.666667,3,0.00611,1,5,5,1.666667,0,IRRELEVANT
DIV,15,0.014549,5,11,2.2,0.733333,15,0.014549,5,11,2.2,0.733333,0,IRRELEVANT
DIV,2,0.00194,0,0,0,0,2,0.00194,0,0,0,0,1,IRRELEVANT
DIV,2,0.00194,0,0,0,0,2,0.00194,0,0,0,0,1,IRRELEVANT
DIV,0,0,1,2,2,0,0,0,1,2,2,0,1,IRRELEVANT
DIV,2,0.00194,0,0,0,0,1001,0.970902,132,341,2.583333,0.340659,1,IRRELEVANT
DIV,2,0.00194,0,0,0,0,145,0.14064,87,149,1.712644,1.027586,1,IRRELEVANT
DIV,129,0.125121,77,133,1.727273,1.031008,129,0.125121,77,133,1.727273,1.031008,1,IRRELEVANT
UL,129,0.125121,77,133,1.727273,1.031008,129,0.125121,77,133,1.727273,1.031008,1,IRRELEVANT
UL,16,0.015519,10,17,1.7,1.0625,16,0.015519,10,17,1.7,1.0625,0,IRRELEVANT
DIV,5,0.00485,0,0,0,0,5,0.00485,0,0,0,0,0,INFORMATIONABOUTARTICLE
H1,5,0.00485,0,0,0,0,5,0.00485,0,0,0,0,0,HEADLINE
DIV,4,0.00388,0,0,0,0,4,0.00388,0,0,0,0,0,INFORMATIONABOUTARTICLE
UL,10,0.009699,4,5,1.25,0.5,10,0.009699,4,5,1.25,0.5,0,IRRELEVANT
DIV,7,0.00679,0,0,0,0,7,0.00679,0,0,0,0,0,INFORMATIONABOUTARTICLE
DIV,547,0.530553,0,0,0,0,547,0.530553,0,0,0,0,0,MAIN
DIV,8,0.007759,3,12,4,1.5,8,0.007759,3,12,4,1.5,0,IRRELEVANT
UL,8,0.007759,3,12,4,1.5,8,0.007759,3,12,4,1.5,0,IRRELEVANT
DIV,2,0.00194,0,0,0,0,106,0.102813,15,106,7.066667,1,0,IRRELEVANT
DIV,106,0.102813,15,106,7.066667,1,106,0.102813,15,106,7.066667,1,0,IRRELEVANT
UL,102,0.098933,15,106,7.066667,1.039216,102,0.098933,15,106,7.066667,1.039216,0,IRRELEVANT
